indicador;valor;min;max;custo
ISQP;69,47;62,52;76,41;5,97
MEDIA IDAT RS 3 ANOS;73,85;66,47;81,24;6,36
PERDAS APURADO;8,57;7,71;9,43;10,03
DEC APURADO;7,16;6,44;7,88;5,19
FEC APURADO;4,62;4,16;5,08;5,46
INADIMPLENCIA;3,33;3,00;3,67;1,65
INS;94,04;84,64;100,00;14,14
FER;6,55;5,90;7,21;1,03
PSP;97,30;87,57;100,00;35,67
REMUN CRITERIO SETORIAL;13,49;12,14;14,84;1,12
RESULTADO OPERACIONAL;48,89;44,00;53,78;2,65
COBERTURA;3,41;3,07;3,75;0,92
EFICIENCIA CAPITAL GIRO;1,09;0,98;1,20;0,20
EFICIENCIA CAPITAL PROPRIO TERCEIROS;2,11;1,90;2,32;2,66
ETHOS;6,34;5,71;6,97;13,87
RELATORIO GESTAO;9,10;8,19;10,01;2,42
